EXEC_FULLNAME,CO_PER_ROL,CONAME,SALARY,AGE,EXECRANKANN,TDC1,TDC1_PCT,GVKEY,EXECID,YEAR,GENDER,TICKER
Robert A. Bradway,34806,AMGEN INC,1505.769,52,3,16097.714,15.299,1602,33199,2015,MALE,AMGN
Anthony C. Hooper,45043,AMGEN INC,1005.653,60,4,6414.729,14.101,1602,30947,2015,MALE,AMGN
Sean E. Harper,46960,AMGEN INC,899.948,52,5,5607.825,4.904,1602,44126,2015,MALE,AMGN
David W. Meline,50444,AMGEN INC,903.478,58,1,6592.624,-37.802,1602,42573,2015,MALE,AMGN
Jonathan P. Graham,52413,AMGEN INC,424.464,54,2,12783.301,,1602,48961,2015,MALE,AMGN
Robert A. Bradway,34806,AMGEN INC,1531.731,53,2,16850.001,4.673,1602,33199,2016,MALE,AMGN
Anthony C. Hooper,45043,AMGEN INC,1031.788,61,3,6965.185,8.581,1602,30947,2016,MALE,AMGN
Sean E. Harper,46960,AMGEN INC,946.246,53,5,6213.042,10.792,1602,44126,2016,MALE,AMGN
David W. Meline,50444,AMGEN INC,946.733,59,4,6218.465,-5.675,1602,42573,2016,MALE,AMGN
Jonathan P. Graham,52413,AMGEN INC,916.789,55,1,6420.345,-49.776,1602,48961,2016,MALE,AMGN
Robert A. Bradway,34806,AMGEN INC,1555.962,54,1,4900.003,-70.92,1602,33199,2017,MALE,AMGN
Anthony C. Hooper,45043,AMGEN INC,1050.173,62,2,2552.64,-63.351,1602,30947,2017,MALE,AMGN
Sean E. Harper,46960,AMGEN INC,970.769,54,4,2356.5,-62.072,1602,44126,2017,MALE,AMGN
David W. Meline,50444,AMGEN INC,970.769,60,3,2358.42,-62.074,1602,42573,2017,MALE,AMGN
Jonathan P. Graham,52413,AMGEN INC,932.577,56,5,2022.272,-68.502,1602,48961,2017,MALE,AMGN
Robert A. Bradway,34806,AMGEN INC,1566,55,1,14805.272,202.148,1602,33199,2018,MALE,AMGN
Anthony C. Hooper,45043,AMGEN INC,1057.05,63,2,5865.464,129.78,1602,30947,2018,MALE,AMGN
Sean E. Harper,46960,AMGEN INC,977.746,55,4,5634.883,139.121,1602,44126,2018,MALE,AMGN
David W. Meline,50444,AMGEN INC,977.746,61,3,8060.738,241.786,1602,42573,2018,MALE,AMGN
Jonathan P. Graham,52413,AMGEN INC,938.596,57,5,5345.372,164.325,1602,48961,2018,MALE,AMGN
Murdo Gordon,61551,AMGEN INC,330.769,51,,15280.204,,1602,48973,2018,MALE,AMGN
"David M. Reese, M.D.",61552,AMGEN INC,697.5,55,,6539.242,,1602,56359,2018,MALE,AMGN
Robert A. Bradway,34806,AMGEN INC,1600.923,56,1,19612.793,32.472,1602,33199,2019,MALE,AMGN
David W. Meline,50444,AMGEN INC,999.049,62,3,5473.6,-32.096,1602,42573,2019,MALE,AMGN
Jonathan P. Graham,52413,AMGEN INC,959.113,58,5,7239.956,35.443,1602,48961,2019,MALE,AMGN
Murdo Gordon,61551,AMGEN INC,1025.673,52,2,5455.866,-64.295,1602,48973,2019,MALE,AMGN
"David M. Reese, M.D.",61552,AMGEN INC,974.433,56,4,5337.955,-18.37,1602,56359,2019,MALE,AMGN
Jerald G. Fishman,2669,ANALOG DEVICES,930.935,65,1,13958.486,375.204,1632,3976,2010,MALE,ADI
Robert R. Marshall,26639,ANALOG DEVICES,398.58,56,4,1978.724,63.607,1632,25869,2010,MALE,ADI
Robert P. McAdam,28347,ANALOG DEVICES,398.58,59,3,1970.841,63.845,1632,27408,2010,MALE,ADI
Vincent T. Roche,33925,ANALOG DEVICES,390.012,50,5,1872.401,50.573,1632,32412,2010,MALE,ADI
David A. Zinsner,38801,ANALOG DEVICES,448.269,41,2,1279.861,-45.093,1632,31512,2010,MALE,ADI
Jerald G. Fishman,2669,ANALOG DEVICES,930.935,66,1,8943.893,-35.925,1632,3976,2011,MALE,ADI
Robert R. Marshall,26639,ANALOG DEVICES,418.395,57,4,1977.911,-0.041,1632,25869,2011,MALE,ADI
Robert P. McAdam,28347,ANALOG DEVICES,418.395,60,3,1954.3,-0.839,1632,27408,2011,MALE,ADI
Vincent T. Roche,33925,ANALOG DEVICES,416.926,51,5,1937.105,3.456,1632,32412,2011,MALE,ADI
David A. Zinsner,38801,ANALOG DEVICES,447.538,42,2,1893.483,47.944,1632,31512,2011,MALE,ADI
Jerald G. Fishman,2669,ANALOG DEVICES,930.935,67,1,12726.6,42.294,1632,3976,2012,MALE,ADI
Robert R. Marshall,26639,ANALOG DEVICES,439.583,58,4,1914.699,-3.196,1632,25869,2012,MALE,ADI
Robert P. McAdam,28347,ANALOG DEVICES,439.583,61,3,1921.353,-1.686,1632,27408,2012,MALE,ADI
Vincent T. Roche,33925,ANALOG DEVICES,439.423,52,5,3651.271,88.491,1632,32412,2012,MALE,ADI
David A. Zinsner,38801,ANALOG DEVICES,446.538,43,2,1933.563,2.117,1632,31512,2012,MALE,ADI
Jerald G. Fishman,2669,ANALOG DEVICES,413.672,68,5,1875.057,-85.267,1632,3976,2013,MALE,ADI
Robert R. Marshall,26639,ANALOG DEVICES,461.667,59,3,2261.999,18.139,1632,25869,2013,MALE,ADI
Robert P. McAdam,28347,ANALOG DEVICES,461.667,62,2,2260.042,17.628,1632,27408,2013,MALE,ADI
Vincent T. Roche,33925,ANALOG DEVICES,627.404,53,1,2729.172,-25.254,1632,32412,2013,MALE,ADI
David A. Zinsner,38801,ANALOG DEVICES,461.538,44,4,2257.821,16.77,1632,31512,2013,MALE,ADI
Richard A. Meaney,48329,ANALOG DEVICES,397.913,56,6,1237.03,,1632,45363,2013,MALE,ADI
Robert R. Marshall,26639,ANALOG DEVICES,470,60,4,2470.824,9.232,1632,25869,2014,MALE,ADI
Robert P. McAdam,28347,ANALOG DEVICES,470,63,3,2470.132,9.296,1632,27408,2014,MALE,ADI
Vincent T. Roche,33925,ANALOG DEVICES,743.846,54,1,6027.17,120.842,1632,32412,2014,MALE,ADI
David A. Zinsner,38801,ANALOG DEVICES,481.538,45,2,3033.5,34.355,1632,31512,2014,MALE,ADI
Richard A. Meaney,48329,ANALOG DEVICES,414.423,57,5,1875.241,51.592,1632,45363,2014,MALE,ADI
Vincent T. Roche,33925,ANALOG DEVICES,785.192,55,1,7814.186,29.649,1632,32412,2015,MALE,ADI
David A. Zinsner,38801,ANALOG DEVICES,504.423,46,2,3359.147,10.735,1632,31512,2015,MALE,ADI
Richard A. Meaney,48329,ANALOG DEVICES,439.423,58,4,2658.698,41.779,1632,45363,2015,MALE,ADI
Peter Real,51951,ANALOG DEVICES,323.428,55,5,3059.567,,1632,48548,2015,MALE,ADI
Richard D. Hess,51952,ANALOG DEVICES,500,62,3,2322.689,,1632,46115,2015,MALE,ADI
Vincent T. Roche,33925,ANALOG DEVICES,827.692,56,1,7150.024,-8.499,1632,32412,2016,MALE,ADI
David A. Zinsner,38801,ANALOG DEVICES,526.238,47,2,3097.65,-7.785,1632,31512,2016,MALE,ADI
Richard A. Meaney,48329,ANALOG DEVICES,469.288,59,4,6105.964,129.66,1632,45363,2016,MALE,ADI
Peter Real,51951,ANALOG DEVICES,376.008,56,5,1866.304,-39.001,1632,48548,2016,MALE,ADI
Richard D. Hess,51952,ANALOG DEVICES,519.231,63,3,3092.034,33.123,1632,46115,2016,MALE,ADI
Vincent T. Roche,33925,ANALOG DEVICES,878,57,1,10838.301,51.584,1632,32412,2017,MALE,ADI
David A. Zinsner,38801,ANALOG DEVICES,236.635,48,7,885.511,-71.413,1632,31512,2017,MALE,ADI
Peter Real,51951,ANALOG DEVICES,420.119,57,5,4038.563,116.394,1632,48548,2017,MALE,ADI
Richard D. Hess,51952,ANALOG DEVICES,471.346,64,3,3324.438,7.516,1632,46115,2017,MALE,ADI
Eileen Wynne,56496,ANALOG DEVICES,300.385,51,6,1966.037,,1632,52426,2017,FEMALE,ADI
Steven Pietkiewicz,56497,ANALOG DEVICES,215.926,57,8,4575.197,,1632,52427,2017,MALE,ADI
Joseph Hassett,56498,ANALOG DEVICES,423.077,59,4,3863.741,,1632,52428,2017,MALE,ADI
Prashanth Mahendra-Rajah,59846,ANALOG DEVICES,35.962,47,2,5155.539,,1632,54886,2017,MALE,ADI
Vincent T. Roche,33925,ANALOG DEVICES,984.615,58,1,8702.678,-19.704,1632,32412,2018,MALE,ADI
Steven Pietkiewicz,56497,ANALOG DEVICES,408.786,58,5,3781.773,-17.342,1632,52427,2018,MALE,ADI
Joseph Hassett,56498,ANALOG DEVICES,469.423,60,3,2827.963,-26.808,1632,52428,2018,MALE,ADI
Prashanth Mahendra-Rajah,59846,ANALOG DEVICES,571.154,48,2,3881.627,-24.71,1632,54886,2018,MALE,ADI
Martin Cotter,60874,ANALOG DEVICES,445.673,53,4,2620.547,,1632,55781,2018,MALE,ADI
Vincent T. Roche,33925,ANALOG DEVICES,1030.769,59,1,11948.434,37.296,1632,32412,2019,MALE,ADI
Steven Pietkiewicz,56497,ANALOG DEVICES,438.462,59,5,2754.832,-27.155,1632,52427,2019,MALE,ADI
Joseph Hassett,56498,ANALOG DEVICES,471.154,61,3,2603.684,-7.931,1632,52428,2019,MALE,ADI
Prashanth Mahendra-Rajah,59846,ANALOG DEVICES,565.385,49,2,3093.381,-20.307,1632,54886,2019,MALE,ADI
Martin Cotter,60874,ANALOG DEVICES,456.154,54,4,2372.22,-9.476,1632,55781,2019,MALE,ADI
Vincent T. Roche,33925,ANALOG DEVICES,1050,60,1,12357.918,3.427,1632,32412,2020,MALE,ADI
Steven Pietkiewicz,56497,ANALOG DEVICES,450,60,5,2657.85,-3.52,1632,52427,2020,MALE,ADI
Joseph Hassett,56498,ANALOG DEVICES,475,62,3,2696.044,3.547,1632,52428,2020,MALE,ADI
Prashanth Mahendra-Rajah,59846,ANALOG DEVICES,575,50,2,3679.472,18.947,1632,54886,2020,MALE,ADI
Martin Cotter,60874,ANALOG DEVICES,460,55,4,2654.371,11.894,1632,55781,2020,MALE,ADI
G. Steven Farris,2691,APACHE CORP,1750,61,1,19264.346,174.443,1678,3994,2010,MALE,APA
Roger B. Plank,14482,APACHE CORP,634.375,53,3,5906.795,-13.713,1678,14825,2010,MALE,APA
John A. Crum,23708,APACHE CORP,634.375,58,4,5912.134,-14.747,1678,23249,2010,MALE,APA
Rodney J. Eichler,28744,APACHE CORP,634.375,60,2,6233.053,-10.051,1678,27764,2010,MALE,APA
P. Anthony Lannie,43639,APACHE CORP,500,56,5,3155.948,,1678,41128,2010,MALE,APA
Thomas P. Chambers,43640,APACHE CORP,320.661,55,6,1573.178,,1678,41129,2010,MALE,APA
G. Steven Farris,2691,APACHE CORP,1750,62,1,15976.451,-17.067,1678,3994,2011,MALE,APA
Roger B. Plank,14482,APACHE CORP,782.292,54,3,4651.92,-21.245,1678,14825,2011,MALE,APA
Rodney J. Eichler,28744,APACHE CORP,782.292,61,2,4802.159,-22.957,1678,27764,2011,MALE,APA
Jon A. Jeppesen,30558,APACHE CORP,560.545,64,4,6760.026,,1678,29371,2011,MALE,APA
P. Anthony Lannie,43639,APACHE CORP,565.833,57,,,,1678,41128,2011,MALE,APA
Thomas P. Chambers,43640,APACHE CORP,449.034,56,5,4346.647,176.297,1678,41129,2011,MALE,APA
G. Steven Farris,2691,APACHE CORP,1750,63,1,17092.205,6.984,1678,3994,2012,MALE,APA
Roger B. Plank,14482,APACHE CORP,900,55,3,5715.659,22.867,1678,14825,2012,MALE,APA
Rodney J. Eichler,28744,APACHE CORP,900,62,2,5778.358,20.328,1678,27764,2012,MALE,APA
P. Anthony Lannie,43639,APACHE CORP,606.899,58,4,3081.394,,1678,41128,2012,MALE,APA
Thomas P. Chambers,43640,APACHE CORP,543.969,57,5,2502.335,-42.431,1678,41129,2012,MALE,APA
G. Steven Farris,2691,APACHE CORP,1750,64,1,11228.244,-34.308,1678,3994,2013,MALE,APA
Roger B. Plank,14482,APACHE CORP,900,56,3,6768.646,18.423,1678,14825,2013,MALE,APA
Rodney J. Eichler,28744,APACHE CORP,900,63,2,6773.919,17.229,1678,27764,2013,MALE,APA
P. Anthony Lannie,43639,APACHE CORP,650,59,,,,1678,41128,2013,MALE,APA
Thomas P. Chambers,43640,APACHE CORP,600,58,5,3791.143,51.504,1678,41129,2013,MALE,APA
Thomas Edward Voytovich,48685,APACHE CORP,657.452,57,4,6547.973,,1678,45683,2013,MALE,APA
G. Steven Farris,2691,APACHE CORP,1750,65,1,10200.472,-9.153,1678,3994,2014,MALE,APA
Roger B. Plank,14482,APACHE CORP,225,57,9,7351.669,8.614,1678,14825,2014,MALE,APA
Michael S. Bahorich,40129,APACHE CORP,700,58,4,4165.453,,1678,38018,2014,MALE,APA
P. Anthony Lannie,43639,APACHE CORP,665.625,60,5,4106.065,,1678,41128,2014,MALE,APA
Thomas P. Chambers,43640,APACHE CORP,400,59,7,5445.962,43.65,1678,41129,2014,MALE,APA
Thomas Edward Voytovich,48685,APACHE CORP,725,58,2,5448.223,-16.795,1678,45683,2014,MALE,APA
Alfonso Leon,50446,APACHE CORP,536.75,38,6,5094.926,,1678,47226,2014,MALE,APA
"Robert V. Johnston, II",50447,APACHE CORP,320.833,59,8,4727.937,,1678,47227,2014,MALE,APA
"John J. Christmann, IV",50448,APACHE CORP,725,47,3,5352.115,,1678,47228,2014,MALE,APA
G. Steven Farris,2691,APACHE CORP,91.426,66,8,7299.077,-28.444,1678,3994,2015,MALE,APA
P. Anthony Lannie,43639,APACHE CORP,675,61,3,4279.602,4.226,1678,41128,2015,MALE,APA
Thomas Edward Voytovich,48685,APACHE CORP,664.583,59,4,5827.696,6.965,1678,45683,2015,MALE,APA
"John J. Christmann, IV",50448,APACHE CORP,1081.551,48,1,15139.831,182.876,1678,47228,2015,MALE,APA
W. Kregg Olson,52414,APACHE CORP,625,61,5,3907.45,,1678,48962,2015,MALE,APA
Stephen J. Riney,52415,APACHE CORP,578.437,54,2,6187.989,,1678,48963,2015,MALE,APA
Timothy J. Sullivan,52416,APACHE CORP,464.584,59,7,3801.852,,1678,48964,2015,MALE,APA
James Lynn House,52417,APACHE CORP,529.167,54,6,4801.632,,1678,48965,2015,MALE,APA
P. Anthony Lannie,43639,APACHE CORP,675,62,3,5344.667,24.887,1678,41128,2016,MALE,APA
"John J. Christmann, IV",50448,APACHE CORP,1100,49,1,13416.196,-11.385,1678,47228,2016,MALE,APA
W. Kregg Olson,52414,APACHE CORP,625,62,,,,1678,48962,2016,MALE,APA
Stephen J. Riney,52415,APACHE CORP,675,55,2,5167.413,-16.493,1678,48963,2016,MALE,APA
Timothy J. Sullivan,52416,APACHE CORP,625,60,4,4262.286,12.111,1678,48964,2016,MALE,APA
James Lynn House,52417,APACHE CORP,600,55,5,4063.816,-15.366,1678,48965,2016,MALE,APA
P. Anthony Lannie,43639,APACHE CORP,675,63,3,3504.014,-34.439,1678,41128,2017,MALE,APA
"John J. Christmann, IV",50448,APACHE CORP,1300,50,1,12844.135,-4.264,1678,47228,2017,MALE,APA
W. Kregg Olson,52414,APACHE CORP,625,63,5,3555.335,,1678,48962,2017,MALE,APA
Stephen J. Riney,52415,APACHE CORP,725,56,2,6293.857,21.799,1678,48963,2017,MALE,APA
Timothy J. Sullivan,52416,APACHE CORP,625,61,4,3856.189,-9.528,1678,48964,2017,MALE,APA
P. Anthony Lannie,43639,APACHE CORP,675,64,3,4423.423,26.239,1678,41128,2018,MALE,APA
"John J. Christmann, IV",50448,APACHE CORP,1300,51,1,15201.446,18.353,1678,47228,2018,MALE,APA
Stephen J. Riney,52415,APACHE CORP,725,57,2,5656.381,-10.129,1678,48963,2018,MALE,APA
Timothy J. Sullivan,52416,APACHE CORP,625,62,4,3615.466,-6.243,1678,48964,2018,MALE,APA
Grady L. Ables,61553,APACHE CORP,575,56,5,2994.068,,1678,56360,2018,MALE,APA
P. Anthony Lannie,43639,APACHE CORP,695,65,3,4257.892,-3.742,1678,41128,2019,MALE,APA
"John J. Christmann, IV",50448,APACHE CORP,1300,52,1,14287.301,-6.014,1678,47228,2019,MALE,APA
Stephen J. Riney,52415,APACHE CORP,795,58,2,6196.811,9.554,1678,48963,2019,MALE,APA
David Alan Pursell,63508,APACHE CORP,675,54,4,3713.113,,1678,58045,2019,MALE,APA
W. Mark Meyer,63509,APACHE CORP,675,56,,3800.277,,1678,58046,2019,MALE,APA
Steven P. Jobs,13898,APPLE INC,0.001,55,5,0.001,0,1690,14302,2010,MALE,AAPL
Timothy D. Cook,15741,APPLE INC,800.016,49,1,59092.572,3500.314,1690,11717,2010,MALE,AAPL
Ronald B. Johnson,21039,APPLE INC,700.014,52,3,29795.443,,1690,20856,2010,MALE,AAPL
Peter Oppenheimer,30287,APPLE INC,700.014,47,2,29796.666,1998.775,1690,29121,2010,MALE,AAPL
Scott J. Forstall,38761,APPLE INC,600.012,41,,,,1690,36697,2010,MALE,AAPL
D. Bruce Sewell,43045,APPLE INC,650.012,52,4,29739.609,,1690,40583,2010,MALE,AAPL
Steven P. Jobs,13898,APPLE INC,0.001,56,6,0.001,0,1690,14302,2011,MALE,AAPL
Timothy D. Cook,15741,APPLE INC,900.017,50,1,377996.537,539.668,1690,11717,2011,MALE,AAPL
Ronald B. Johnson,21039,APPLE INC,700.014,53,4,1416.143,-95.247,1690,20856,2011,MALE,AAPL
Peter Oppenheimer,30287,APPLE INC,700.014,48,3,1416.143,-95.247,1690,29121,2011,MALE,AAPL
Scott J. Forstall,38761,APPLE INC,700.014,42,2,1416.527,,1690,36697,2011,MALE,AAPL
D. Bruce Sewell,43045,APPLE INC,700.014,53,,,,1690,40583,2011,MALE,AAPL
Eduardo H. Cue,44775,APPLE INC,607.704,47,5,52952.975,,1690,42161,2011,MALE,AAPL
Timothy D. Cook,15741,APPLE INC,1357.718,51,1,4174.992,-98.895,1690,11717,2012,MALE,AAPL
Peter Oppenheimer,30287,APPLE INC,805.4,49,4,68591.562,4743.548,1690,29121,2012,MALE,AAPL
Robert Mansfield,36568,APPLE INC,805.4,51,2,85540.637,,1690,34763,2012,MALE,AAPL
D. Bruce Sewell,43045,APPLE INC,805.4,54,5,68989.812,,1690,40583,2012,MALE,AAPL
Eduardo H. Cue,44775,APPLE INC,805.4,48,,,,1690,42161,2012,MALE,AAPL
Jeffrey E. Williams,46414,APPLE INC,805.4,48,3,68691.612,,1690,43646,2012,MALE,AAPL
Timothy D. Cook,15741,APPLE INC,1400.006,52,1,4252.727,1.862,1690,11717,2013,MALE,AAPL
Peter Oppenheimer,30287,APPLE INC,866.061,50,4,2632.852,-96.162,1690,29121,2013,MALE,AAPL
Eduardo H. Cue,44775,APPLE INC,866.061,49,5,2647.105,,1690,42161,2013,MALE,AAPL
Jeffrey E. Williams,46414,APPLE INC,866.061,49,3,2632.852,-96.167,1690,43646,2013,MALE,AAPL
Daniel J. Riccio,48102,APPLE INC,866.061,50,2,2632.852,,1690,45161,2013,MALE,AAPL
Timothy D. Cook,15741,APPLE INC,1748.462,53,1,9222.638,116.864,1690,11717,2014,MALE,AAPL
Peter Oppenheimer,30287,APPLE INC,947.596,51,3,4517.72,71.59,1690,29121,2014,MALE,AAPL
Eduardo H. Cue,44775,APPLE INC,947.596,50,4,24445.739,823.49,1690,42161,2014,MALE,AAPL
Jeffrey E. Williams,46414,APPLE INC,947.596,50,2,24403.235,826.875,1690,43646,2014,MALE,AAPL
Daniel J. Riccio,48102,APPLE INC,947.596,51,,,,1690,45161,2014,MALE,AAPL
Angela J. Ahrendts,49822,APPLE INC,411.538,53,5,73351.124,,1690,24613,2014,FEMALE,AAPL
Luca Maestri,49823,APPLE INC,717.211,50,6,14002.801,,1690,42705,2014,MALE,AAPL
Timothy D. Cook,15741,APPLE INC,2000,54,1,10281.327,11.479,1690,11717,2015,MALE,AAPL
D. Bruce Sewell,43045,APPLE INC,1000,57,5,25017.626,,1690,40583,2015,MALE,AAPL
Eduardo H. Cue,44775,APPLE INC,1000,51,6,25052.241,2.481,1690,42161,2015,MALE,AAPL
Daniel J. Riccio,48102,APPLE INC,1000,52,2,25017.626,,1690,45161,2015,MALE,AAPL
Angela J. Ahrendts,49822,APPLE INC,1000,54,4,25779.229,-64.855,1690,24613,2015,FEMALE,AAPL
Luca Maestri,49823,APPLE INC,1000,51,3,25337.977,80.949,1690,42705,2015,MALE,AAPL
Timothy D. Cook,15741,APPLE INC,3000,55,1,8747.719,-14.916,1690,11717,2016,MALE,AAPL
D. Bruce Sewell,43045,APPLE INC,1000,58,5,22807.544,-8.834,1690,40583,2016,MALE,AAPL
Eduardo H. Cue,44775,APPLE INC,1000,52,6,22807.544,-8.96,1690,42161,2016,MALE,AAPL
Daniel J. Riccio,48102,APPLE INC,1000,53,2,22807.544,-8.834,1690,45161,2016,MALE,AAPL
Angela J. Ahrendts,49822,APPLE INC,1000,55,3,22902.892,-11.158,1690,24613,2016,FEMALE,AAPL
Luca Maestri,49823,APPLE INC,1000,52,4,22803.569,-10.002,1690,42705,2016,MALE,AAPL
Timothy D. Cook,15741,APPLE INC,3057.692,56,1,12825.066,46.61,1690,11717,2017,MALE,AAPL
D. Bruce Sewell,43045,APPLE INC,1019.231,59,6,24146.046,5.869,1690,40583,2017,MALE,AAPL
Daniel J. Riccio,48102,APPLE INC,1019.231,54,2,24146.046,5.869,1690,45161,2017,MALE,AAPL
Angela J. Ahrendts,49822,APPLE INC,1019.231,56,3,24216.072,5.734,1690,24613,2017,FEMALE,AAPL
Luca Maestri,49823,APPLE INC,1019.231,53,4,24141.615,5.868,1690,42705,2017,MALE,AAPL
Johny Srouji,55838,APPLE INC,1019.231,52,5,24162.392,,1690,51951,2017,MALE,AAPL
Timothy D. Cook,15741,APPLE INC,3000,57,1,15682.219,22.278,1690,11717,2018,MALE,AAPL
Jeffrey E. Williams,46414,APPLE INC,1000,54,4,26543.706,,1690,43646,2018,MALE,AAPL
Angela J. Ahrendts,49822,APPLE INC,1000,57,2,26538.83,9.592,1690,24613,2018,FEMALE,AAPL
Luca Maestri,49823,APPLE INC,1000,54,3,26509.692,9.809,1690,42705,2018,MALE,AAPL
Katherine L. Adams,60877,APPLE INC,884.615,54,,26700.66,,1690,55784,2018,FEMALE,AAPL
Timothy D. Cook,15741,APPLE INC,3000,58,1,11555.466,-26.315,1690,11717,2019,MALE,AAPL
Jeffrey E. Williams,46414,APPLE INC,1000,55,3,25207.919,-5.032,1690,43646,2019,MALE,AAPL
Angela J. Ahrendts,49822,APPLE INC,630.361,58,5,22278.242,-16.054,1690,24613,2019,FEMALE,AAPL
Luca Maestri,49823,APPLE INC,1000,55,2,25209.637,-4.904,1690,42705,2019,MALE,AAPL
Katherine L. Adams,60877,APPLE INC,1000,55,,25231.8,-5.501,1690,55784,2019,FEMALE,AAPL
Deirdre OBrien,62858,APPLE INC,877.5,52,4,19159.78,,1690,57466,2019,FEMALE,AAPL
Timothy D. Cook,15741,APPLE INC,3000,59,1,14769.259,27.812,1690,11717,2020,MALE,AAPL
Jeffrey E. Williams,46414,APPLE INC,1000,56,5,26251.824,4.141,1690,43646,2020,MALE,AAPL
Luca Maestri,49823,APPLE INC,1000,56,2,26253.27,4.14,1690,42705,2020,MALE,AAPL
Katherine L. Adams,60877,APPLE INC,1000,56,3,26248.995,4.031,1690,55784,2020,FEMALE,AAPL
Deirdre OBrien,62858,APPLE INC,1000,53,4,26272.371,37.123,1690,57466,2020,FEMALE,AAPL
Michael R. Splinter,26646,APPLIED MATERIALS INC,972.462,60,1,9748.295,214.771,1704,25876,2010,MALE,AMAT
Franz Janker,26647,APPLIED MATERIALS INC,463.777,60,5,3940.968,95.165,1704,25877,2010,MALE,AMAT
"Mark Richard Pinto, Ph.D.",30161,APPLIED MATERIALS INC,565.961,51,2,5047.957,154.605,1704,29012,2010,MALE,AMAT
George S. Davis,32097,APPLIED MATERIALS INC,559.131,52,3,4753.604,143.159,1704,30761,2010,MALE,AMAT
Randhir Thakur,43258,APPLIED MATERIALS INC,554.885,48,4,4850.878,,1704,31085,2010,MALE,AMAT
Joseph Gerard Flanagan,43259,APPLIED MATERIALS INC,334.615,39,6,4703.824,,1704,37005,2010,MALE,AMAT
Michael R. Splinter,26646,APPLIED MATERIALS INC,980,61,1,9555.333,-1.979,1704,25876,2011,MALE,AMAT
"Mark Richard Pinto, Ph.D.",30161,APPLIED MATERIALS INC,575,52,3,4938.418,-2.17,1704,29012,2011,MALE,AMAT
George S. Davis,32097,APPLIED MATERIALS INC,575,53,2,4917.154,3.441,1704,30761,2011,MALE,AMAT
Randhir Thakur,43258,APPLIED MATERIALS INC,575,49,4,4818.029,-0.677,1704,31085,2011,MALE,AMAT
Joseph Gerard Flanagan,43259,APPLIED MATERIALS INC,500,40,5,4289.867,-8.8,1704,37005,2011,MALE,AMAT
Michael R. Splinter,26646,APPLIED MATERIALS INC,980,62,2,9220.058,-3.509,1704,25876,2012,MALE,AMAT
"Mark Richard Pinto, Ph.D.",30161,APPLIED MATERIALS INC,575,53,4,4143.179,-16.103,1704,29012,2012,MALE,AMAT
George S. Davis,32097,APPLIED MATERIALS INC,575,54,3,5430.879,10.448,1704,30761,2012,MALE,AMAT
Randhir Thakur,43258,APPLIED MATERIALS INC,575,50,5,7872.754,63.402,1704,31085,2012,MALE,AMAT
Gary E. Dickerson,46415,APPLIED MATERIALS INC,2860.396,55,1,15399.963,,1704,13932,2012,MALE,AMAT
Michael R. Splinter,26646,APPLIED MATERIALS INC,980,63,1,9286.683,0.723,1704,25876,2013,MALE,AMAT
George S. Davis,32097,APPLIED MATERIALS INC,241.058,55,7,3237.699,-40.384,1704,30761,2013,MALE,AMAT
Randhir Thakur,43258,APPLIED MATERIALS INC,575,51,,,,1704,31085,2013,MALE,AMAT
Gary E. Dickerson,46415,APPLIED MATERIALS INC,776.538,56,2,10319.469,-32.99,1704,13932,2013,MALE,AMAT
Ali Salehpour,48103,APPLIED MATERIALS INC,353.885,52,6,4461.316,,1704,45162,2013,MALE,AMAT
Robert J. Halliday,48104,APPLIED MATERIALS INC,484.528,59,3,3560.066,,1704,12858,2013,MALE,AMAT
Thomas F. Larkins,48105,APPLIED MATERIALS INC,413.538,52,5,7551.544,,1704,11060,2013,MALE,AMAT
Omkaram Nalamasu,48106,APPLIED MATERIALS INC,426.154,55,4,4657.941,,1704,45164,2013,MALE,AMAT
Michael R. Splinter,26646,APPLIED MATERIALS INC,980,64,2,9527.991,2.598,1704,25876,2014,MALE,AMAT
Randhir Thakur,43258,APPLIED MATERIALS INC,575,52,4,5324.737,,1704,31085,2014,MALE,AMAT
Gary E. Dickerson,46415,APPLIED MATERIALS INC,980,57,1,16425.005,59.165,1704,13932,2014,MALE,AMAT
Ali Salehpour,48103,APPLIED MATERIALS INC,485.385,53,5,6145.702,37.755,1704,45162,2014,MALE,AMAT
Robert J. Halliday,48104,APPLIED MATERIALS INC,575,60,3,12314.967,245.92,1704,12858,2014,MALE,AMAT
Thomas F. Larkins,48105,APPLIED MATERIALS INC,480,53,,,,1704,11060,2014,MALE,AMAT
Omkaram Nalamasu,48106,APPLIED MATERIALS INC,460,56,,,,1704,45164,2014,MALE,AMAT
Michael R. Splinter,26646,APPLIED MATERIALS INC,459.846,65,6,4067.662,-57.308,1704,25876,2015,MALE,AMAT
Randhir Thakur,43258,APPLIED MATERIALS INC,575,53,3,7236.954,35.912,1704,31085,2015,MALE,AMAT
Gary E. Dickerson,46415,APPLIED MATERIALS INC,995.385,58,1,18092.808,10.154,1704,13932,2015,MALE,AMAT
Ali Salehpour,48103,APPLIED MATERIALS INC,550,54,4,4414.36,-28.172,1704,45162,2015,MALE,AMAT
Robert J. Halliday,48104,APPLIED MATERIALS INC,613.462,61,2,5823.553,-52.712,1704,12858,2015,MALE,AMAT
Thomas F. Larkins,48105,APPLIED MATERIALS INC,480,54,5,3072.909,,1704,11060,2015,MALE,AMAT
