EXEC_FULLNAME,CO_PER_ROL,CONAME,SALARY,AGE,EXECRANKANN,TDC1,TDC1_PCT,GVKEY,EXECID,YEAR,GENDER,TICKER,stock_price,eps,pe_ratio,roa,roe
D. Bruce Sewell,43045,APPLE INC,1019.231,59.0,6.0,24146.046,5.869,1690,40583,2017,MALE,AAPL,177.2,9.27,19.11543,0.12883,0.3607
Daniel J. Riccio,48102,APPLE INC,1019.231,54.0,2.0,24146.046,5.869,1690,45161,2017,MALE,AAPL,177.2,9.27,19.11543,0.12883,0.3607
Angela J. Ahrendts,49822,APPLE INC,1019.231,56.0,3.0,24216.072,5.734,1690,24613,2017,FEMALE,AAPL,177.2,9.27,19.11543,0.12883,0.3607
Luca Maestri,49823,APPLE INC,1019.231,53.0,4.0,24141.615,5.868,1690,42705,2017,MALE,AAPL,177.2,9.27,19.11543,0.12883,0.3607
Johny Srouji,55838,APPLE INC,1019.231,52.0,5.0,24162.392,,1690,51951,2017,MALE,AAPL,177.2,9.27,19.11543,0.12883,0.3607
Timothy D. Cook,15741,APPLE INC,3000.0,57.0,1.0,15682.219,22.278,1690,11717,2018,MALE,AAPL,233.47,12.01,19.43963,0.16278,0.5556
Jeffrey E. Williams,46414,APPLE INC,1000.0,54.0,4.0,26543.706,,1690,43646,2018,MALE,AAPL,233.47,12.01,19.43963,0.16278,0.5556
Angela J. Ahrendts,49822,APPLE INC,1000.0,57.0,2.0,26538.83,9.592,1690,24613,2018,FEMALE,AAPL,233.47,12.01,19.43963,0.16278,0.5556
Luca Maestri,49823,APPLE INC,1000.0,54.0,3.0,26509.692,9.809,1690,42705,2018,MALE,AAPL,233.47,12.01,19.43963,0.16278,0.5556
Katherine L. Adams,60877,APPLE INC,884.615,54.0,,26700.66,,1690,55784,2018,FEMALE,AAPL,233.47,12.01,19.43963,0.16278,0.5556
Timothy D. Cook,15741,APPLE INC,3000.0,58.0,1.0,11555.466,-26.315,1690,11717,2019,MALE,AAPL,293.97,11.97,24.5589,0.16323,0.61064
Jeffrey E. Williams,46414,APPLE INC,1000.0,55.0,3.0,25207.919,-5.032,1690,43646,2019,MALE,AAPL,293.97,11.97,24.5589,0.16323,0.61064
Angela J. Ahrendts,49822,APPLE INC,630.361,58.0,5.0,22278.242,-16.054,1690,24613,2019,FEMALE,AAPL,293.97,11.97,24.5589,0.16323,0.61064
Luca Maestri,49823,APPLE INC,1000.0,55.0,2.0,25209.637,-4.904,1690,42705,2019,MALE,AAPL,293.97,11.97,24.5589,0.16323,0.61064
Katherine L. Adams,60877,APPLE INC,1000.0,55.0,,25231.8,-5.501,1690,55784,2019,FEMALE,AAPL,293.97,11.97,24.5589,0.16323,0.61064
Deirdre OBrien,62858,APPLE INC,877.5,52.0,4.0,19159.78,,1690,57466,2019,FEMALE,AAPL,293.97,11.97,24.5589,0.16323,0.61064
Timothy D. Cook,15741,APPLE INC,3000.0,59.0,1.0,14769.259,27.812,1690,11717,2020,MALE,AAPL,138.789,3.31,41.93021,0.17726,0.87866
Jeffrey E. Williams,46414,APPLE INC,1000.0,56.0,5.0,26251.824,4.141,1690,43646,2020,MALE,AAPL,138.789,3.31,41.93021,0.17726,0.87866
Luca Maestri,49823,APPLE INC,1000.0,56.0,2.0,26253.27,4.14,1690,42705,2020,MALE,AAPL,138.789,3.31,41.93021,0.17726,0.87866
Katherine L. Adams,60877,APPLE INC,1000.0,56.0,3.0,26248.995,4.031,1690,55784,2020,FEMALE,AAPL,138.789,3.31,41.93021,0.17726,0.87866
Deirdre OBrien,62858,APPLE INC,1000.0,53.0,4.0,26272.371,37.123,1690,57466,2020,FEMALE,AAPL,138.789,3.31,41.93021,0.17726,0.87866
Michael R. Splinter,26646,APPLIED MATERIALS INC,972.462,60.0,1.0,9748.295,214.771,1704,25876,2010,MALE,AMAT,14.94,0.7,21.34286,0.0857,0.12445
Franz Janker,26647,APPLIED MATERIALS INC,463.777,60.0,5.0,3940.968,95.165,1704,25877,2010,MALE,AMAT,14.94,0.7,21.34286,0.0857,0.12445
"Mark Richard Pinto, Ph.D.",30161,APPLIED MATERIALS INC,565.961,51.0,2.0,5047.957,154.605,1704,29012,2010,MALE,AMAT,14.94,0.7,21.34286,0.0857,0.12445
George S. Davis,32097,APPLIED MATERIALS INC,559.131,52.0,3.0,4753.604,143.159,1704,30761,2010,MALE,AMAT,14.94,0.7,21.34286,0.0857,0.12445
Randhir Thakur,43258,APPLIED MATERIALS INC,554.885,48.0,4.0,4850.878,,1704,31085,2010,MALE,AMAT,14.94,0.7,21.34286,0.0857,0.12445
Joseph Gerard Flanagan,43259,APPLIED MATERIALS INC,334.615,39.0,6.0,4703.824,,1704,37005,2010,MALE,AMAT,14.94,0.7,21.34286,0.0857,0.12445
Michael R. Splinter,26646,APPLIED MATERIALS INC,980.0,61.0,1.0,9555.333,-1.979,1704,25876,2011,MALE,AMAT,16.93,1.46,11.59589,0.13895,0.21886
"Mark Richard Pinto, Ph.D.",30161,APPLIED MATERIALS INC,575.0,52.0,3.0,4938.418,-2.17,1704,29012,2011,MALE,AMAT,16.93,1.46,11.59589,0.13895,0.21886
George S. Davis,32097,APPLIED MATERIALS INC,575.0,53.0,2.0,4917.154,3.441,1704,30761,2011,MALE,AMAT,16.93,1.46,11.59589,0.13895,0.21886
Randhir Thakur,43258,APPLIED MATERIALS INC,575.0,49.0,4.0,4818.029,-0.677,1704,31085,2011,MALE,AMAT,16.93,1.46,11.59589,0.13895,0.21886
Joseph Gerard Flanagan,43259,APPLIED MATERIALS INC,500.0,40.0,5.0,4289.867,-8.8,1704,37005,2011,MALE,AMAT,16.93,1.46,11.59589,0.13895,0.21886
Michael R. Splinter,26646,APPLIED MATERIALS INC,980.0,62.0,2.0,9220.058,-3.509,1704,25876,2012,MALE,AMAT,13.94,0.09,154.88889,0.00901,0.01507
"Mark Richard Pinto, Ph.D.",30161,APPLIED MATERIALS INC,575.0,53.0,4.0,4143.179,-16.103,1704,29012,2012,MALE,AMAT,13.94,0.09,154.88889,0.00901,0.01507
George S. Davis,32097,APPLIED MATERIALS INC,575.0,54.0,3.0,5430.879,10.448,1704,30761,2012,MALE,AMAT,13.94,0.09,154.88889,0.00901,0.01507
Randhir Thakur,43258,APPLIED MATERIALS INC,575.0,50.0,5.0,7872.754,63.402,1704,31085,2012,MALE,AMAT,13.94,0.09,154.88889,0.00901,0.01507
Gary E. Dickerson,46415,APPLIED MATERIALS INC,2860.396,55.0,1.0,15399.963,,1704,13932,2012,MALE,AMAT,13.94,0.09,154.88889,0.00901,0.01507
Michael R. Splinter,26646,APPLIED MATERIALS INC,980.0,63.0,1.0,9286.683,0.723,1704,25876,2013,MALE,AMAT,18.18,0.21,86.57143,0.02126,0.03612
George S. Davis,32097,APPLIED MATERIALS INC,241.058,55.0,7.0,3237.699,-40.384,1704,30761,2013,MALE,AMAT,18.18,0.21,86.57143,0.02126,0.03612
Randhir Thakur,43258,APPLIED MATERIALS INC,575.0,51.0,,,,1704,31085,2013,MALE,AMAT,18.18,0.21,86.57143,0.02126,0.03612
Gary E. Dickerson,46415,APPLIED MATERIALS INC,776.538,56.0,2.0,10319.469,-32.99,1704,13932,2013,MALE,AMAT,18.18,0.21,86.57143,0.02126,0.03612
Ali Salehpour,48103,APPLIED MATERIALS INC,353.885,52.0,6.0,4461.316,,1704,45162,2013,MALE,AMAT,18.18,0.21,86.57143,0.02126,0.03612
Robert J. Halliday,48104,APPLIED MATERIALS INC,484.528,59.0,3.0,3560.066,,1704,12858,2013,MALE,AMAT,18.18,0.21,86.57143,0.02126,0.03612
Thomas F. Larkins,48105,APPLIED MATERIALS INC,413.538,52.0,5.0,7551.544,,1704,11060,2013,MALE,AMAT,18.18,0.21,86.57143,0.02126,0.03612
Omkaram Nalamasu,48106,APPLIED MATERIALS INC,426.154,55.0,4.0,4657.941,,1704,45164,2013,MALE,AMAT,18.18,0.21,86.57143,0.02126,0.03612
Michael R. Splinter,26646,APPLIED MATERIALS INC,980.0,64.0,2.0,9527.991,2.598,1704,25876,2014,MALE,AMAT,25.71,0.88,29.21591,0.08137,0.13625
Randhir Thakur,43258,APPLIED MATERIALS INC,575.0,52.0,4.0,5324.737,,1704,31085,2014,MALE,AMAT,25.71,0.88,29.21591,0.08137,0.13625
Gary E. Dickerson,46415,APPLIED MATERIALS INC,980.0,57.0,1.0,16425.005,59.165,1704,13932,2014,MALE,AMAT,25.71,0.88,29.21591,0.08137,0.13625
Ali Salehpour,48103,APPLIED MATERIALS INC,485.385,53.0,5.0,6145.702,37.755,1704,45162,2014,MALE,AMAT,25.71,0.88,29.21591,0.08137,0.13625
Robert J. Halliday,48104,APPLIED MATERIALS INC,575.0,60.0,3.0,12314.967,245.92,1704,12858,2014,MALE,AMAT,25.71,0.88,29.21591,0.08137,0.13625
Thomas F. Larkins,48105,APPLIED MATERIALS INC,480.0,53.0,,,,1704,11060,2014,MALE,AMAT,25.71,0.88,29.21591,0.08137,0.13625
Omkaram Nalamasu,48106,APPLIED MATERIALS INC,460.0,56.0,,,,1704,45164,2014,MALE,AMAT,25.71,0.88,29.21591,0.08137,0.13625
Michael R. Splinter,26646,APPLIED MATERIALS INC,459.846,65.0,6.0,4067.662,-57.308,1704,25876,2015,MALE,AMAT,25.64,1.13,22.69027,0.08995,0.18087
Randhir Thakur,43258,APPLIED MATERIALS INC,575.0,53.0,3.0,7236.954,35.912,1704,31085,2015,MALE,AMAT,25.64,1.13,22.69027,0.08995,0.18087
Gary E. Dickerson,46415,APPLIED MATERIALS INC,995.385,58.0,1.0,18092.808,10.154,1704,13932,2015,MALE,AMAT,25.64,1.13,22.69027,0.08995,0.18087
Ali Salehpour,48103,APPLIED MATERIALS INC,550.0,54.0,4.0,4414.36,-28.172,1704,45162,2015,MALE,AMAT,25.64,1.13,22.69027,0.08995,0.18087
Robert J. Halliday,48104,APPLIED MATERIALS INC,613.462,61.0,2.0,5823.553,-52.712,1704,12858,2015,MALE,AMAT,25.64,1.13,22.69027,0.08995,0.18087
Thomas F. Larkins,48105,APPLIED MATERIALS INC,480.0,54.0,5.0,3072.909,,1704,11060,2015,MALE,AMAT,25.64,1.13,22.69027,0.08995,0.18087
Omkaram Nalamasu,48106,APPLIED MATERIALS INC,460.0,57.0,,,,1704,45164,2015,MALE,AMAT,25.64,1.13,22.69027,0.08995,0.18087
Ginetto Addiego,51954,APPLIED MATERIALS INC,457.692,56.0,7.0,3367.382,,1704,31093,2015,MALE,AMAT,25.64,1.13,22.69027,0.08995,0.18087
Gary E. Dickerson,46415,APPLIED MATERIALS INC,1019.231,59.0,5.0,19680.422,8.775,1704,13932,2016,MALE,AMAT,33.68,1.56,21.58974,0.11797,0.23846
Ali Salehpour,48103,APPLIED MATERIALS INC,560.577,55.0,2.0,6271.614,42.073,1704,45162,2016,MALE,AMAT,33.68,1.56,21.58974,0.11797,0.23846
Robert J. Halliday,48104,APPLIED MATERIALS INC,637.019,62.0,1.0,8220.638,41.162,1704,12858,2016,MALE,AMAT,33.68,1.56,21.58974,0.11797,0.23846
Thomas F. Larkins,48105,APPLIED MATERIALS INC,489.231,55.0,3.0,4630.027,50.672,1704,11060,2016,MALE,AMAT,33.68,1.56,21.58974,0.11797,0.23846
Omkaram Nalamasu,48106,APPLIED MATERIALS INC,468.846,58.0,4.0,4645.017,,1704,45164,2016,MALE,AMAT,33.68,1.56,21.58974,0.11797,0.23846
Gary E. Dickerson,46415,APPLIED MATERIALS INC,1000.0,60.0,1.0,4478.204,-77.245,1704,13932,2017,MALE,AMAT,60.89,3.2,19.02812,0.17684,0.36731
Ali Salehpour,48103,APPLIED MATERIALS INC,591.346,56.0,4.0,1663.694,-73.473,1704,45162,2017,MALE,AMAT,60.89,3.2,19.02812,0.17684,0.36731
Robert J. Halliday,48104,APPLIED MATERIALS INC,625.0,63.0,3.0,1751.455,-78.694,1704,12858,2017,MALE,AMAT,60.89,3.2,19.02812,0.17684,0.36731
Thomas F. Larkins,48105,APPLIED MATERIALS INC,480.0,56.0,6.0,1195.667,-74.176,1704,11060,2017,MALE,AMAT,60.89,3.2,19.02812,0.17684,0.36731
Omkaram Nalamasu,48106,APPLIED MATERIALS INC,484.808,59.0,5.0,1267.901,-72.704,1704,45164,2017,MALE,AMAT,60.89,3.2,19.02812,0.17684,0.36731
Daniel J. Durn,59847,APPLIED MATERIALS INC,138.462,51.0,2.0,1049.701,,1704,54887,2017,MALE,AMAT,60.89,3.2,19.02812,0.17684,0.36731
Gary E. Dickerson,46415,APPLIED MATERIALS INC,1000.0,61.0,1.0,14064.54,214.067,1704,13932,2018,MALE,AMAT,62.4,3.27,19.08257,0.18641,0.48443
Ali Salehpour,48103,APPLIED MATERIALS INC,600.0,57.0,3.0,4814.369,189.378,1704,45162,2018,MALE,AMAT,62.4,3.27,19.08257,0.18641,0.48443
Daniel J. Durn,59847,APPLIED MATERIALS INC,600.0,52.0,2.0,6674.811,535.877,1704,54887,2018,MALE,AMAT,62.4,3.27,19.08257,0.18641,0.48443
Steve G. Ghanayem,60878,APPLIED MATERIALS INC,549.039,52.0,4.0,5781.628,,1704,55785,2018,MALE,AMAT,62.4,3.27,19.08257,0.18641,0.48443
Prabu G. Raja,60879,APPLIED MATERIALS INC,549.039,56.0,,5870.524,,1704,55786,2018,MALE,AMAT,62.4,3.27,19.08257,0.18641,0.48443
Gary E. Dickerson,46415,APPLIED MATERIALS INC,1024.808,62.0,1.0,14072.395,0.056,1704,13932,2019,MALE,AMAT,63.07,2.89,21.82353,0.14224,0.32944
Ali Salehpour,48103,APPLIED MATERIALS INC,620.673,58.0,2.0,4976.182,3.361,1704,45162,2019,MALE,AMAT,63.07,2.89,21.82353,0.14224,0.32944
Daniel J. Durn,59847,APPLIED MATERIALS INC,620.673,53.0,3.0,5145.4,-22.913,1704,54887,2019,MALE,AMAT,63.07,2.89,21.82353,0.14224,0.32944
Steve G. Ghanayem,60878,APPLIED MATERIALS INC,564.058,53.0,4.0,3967.354,-31.38,1704,55785,2019,MALE,AMAT,63.07,2.89,21.82353,0.14224,0.32944
Prabu G. Raja,60879,APPLIED MATERIALS INC,564.058,57.0,5.0,3903.603,-33.505,1704,55786,2019,MALE,AMAT,63.07,2.89,21.82353,0.14224,0.32944
John Daniel Rice,25173,ARCHER-DANIELS-MIDLAND CO,885.4,56.0,4.0,2306.72,-26.879,1722,24553,2010,MALE,ADM,34.03,3.0,11.34333,0.06118,0.13211
David J. Smith,26369,ARCHER-DANIELS-MIDLAND CO,901.4,55.0,3.0,2482.863,17.958,1722,25623,2010,MALE,ADM,34.03,3.0,11.34333,0.06118,0.13211
Patricia A. Woertz,31699,ARCHER-DANIELS-MIDLAND CO,1300.0,57.0,2.0,19432.65,199.667,1722,24742,2010,FEMALE,ADM,34.03,3.0,11.34333,0.06118,0.13211
Steven R. Mills,35833,ARCHER-DANIELS-MIDLAND CO,750.0,54.0,5.0,2031.064,28.401,1722,34114,2010,MALE,ADM,34.03,3.0,11.34333,0.06118,0.13211
Michael D'Ambrose,42902,ARCHER-DANIELS-MIDLAND CO,700.0,52.0,1.0,1708.765,,1722,13887,2010,MALE,ADM,34.03,3.0,11.34333,0.06118,0.13211
John Daniel Rice,25173,ARCHER-DANIELS-MIDLAND CO,928.469,57.0,2.0,5527.124,139.61,1722,24553,2011,MALE,ADM,38.0201,3.17,11.99372,0.04825,0.10825
David J. Smith,26369,ARCHER-DANIELS-MIDLAND CO,901.4,56.0,3.0,2393.874,-3.584,1722,25623,2011,MALE,ADM,38.0201,3.17,11.99372,0.04825,0.10825
Patricia A. Woertz,31699,ARCHER-DANIELS-MIDLAND CO,1300.0,58.0,1.0,7842.195,-59.644,1722,24742,2011,FEMALE,ADM,38.0201,3.17,11.99372,0.04825,0.10825
Steven R. Mills,35833,ARCHER-DANIELS-MIDLAND CO,750.0,55.0,4.0,3763.126,85.279,1722,34114,2011,MALE,ADM,38.0201,3.17,11.99372,0.04825,0.10825
Ray Guy Young,44351,ARCHER-DANIELS-MIDLAND CO,500.0,49.0,5.0,1859.437,,1722,36277,2011,MALE,ADM,38.0201,3.17,11.99372,0.04825,0.10825
Juan Ricardo Luciano,44352,ARCHER-DANIELS-MIDLAND CO,204.808,50.0,6.0,10059.921,,1722,41788,2011,MALE,ADM,38.0201,3.17,11.99372,0.04825,0.10825
John Daniel Rice,25173,ARCHER-DANIELS-MIDLAND CO,950.004,58.0,1.0,3304.136,-40.22,1722,24553,2012,MALE,ADM,33.98,1.84,18.46739,0.02943,0.06806
David J. Smith,26369,ARCHER-DANIELS-MIDLAND CO,450.7,57.0,5.0,2080.849,-13.076,1722,25623,2012,MALE,ADM,33.98,1.84,18.46739,0.02943,0.06806
Patricia A. Woertz,31699,ARCHER-DANIELS-MIDLAND CO,650.0,59.0,2.0,8307.377,5.932,1722,24742,2012,FEMALE,ADM,33.98,1.84,18.46739,0.02943,0.06806
Steven R. Mills,35833,ARCHER-DANIELS-MIDLAND CO,515.385,56.0,3.0,2633.827,-30.01,1722,34114,2012,MALE,ADM,33.98,1.84,18.46739,0.02943,0.06806
Ray Guy Young,44351,ARCHER-DANIELS-MIDLAND CO,383.333,50.0,6.0,2503.273,34.625,1722,36277,2012,MALE,ADM,33.98,1.84,18.46739,0.02943,0.06806
Juan Ricardo Luciano,44352,ARCHER-DANIELS-MIDLAND CO,465.0,51.0,4.0,4097.397,-59.27,1722,41788,2012,MALE,ADM,33.98,1.84,18.46739,0.02943,0.06806
Matthew J. Jansen,46632,ARCHER-DANIELS-MIDLAND CO,306.668,46.0,7.0,1974.166,,1722,43836,2012,MALE,ADM,33.98,1.84,18.46739,0.02943,0.06806
Patricia A. Woertz,31699,ARCHER-DANIELS-MIDLAND CO,1300.0,60.0,2.0,4901.315,-41.0,1722,24742,2013,FEMALE,ADM,43.99,2.03,21.66995,0.03067,0.06658
Ray Guy Young,44351,ARCHER-DANIELS-MIDLAND CO,775.0,51.0,4.0,2181.595,-12.85,1722,36277,2013,MALE,ADM,43.99,2.03,21.66995,0.03067,0.06658
Juan Ricardo Luciano,44352,ARCHER-DANIELS-MIDLAND CO,945.0,52.0,3.0,2777.874,-32.204,1722,41788,2013,MALE,ADM,43.99,2.03,21.66995,0.03067,0.06658
Craig E. Huss,48330,ARCHER-DANIELS-MIDLAND CO,544.168,61.0,5.0,2285.225,,1722,45364,2013,MALE,ADM,43.99,2.03,21.66995,0.03067,0.06658
D. Cameron Findlay,48331,ARCHER-DANIELS-MIDLAND CO,350.0,54.0,1.0,6272.88,,1722,26592,2013,MALE,ADM,43.99,2.03,21.66995,0.03067,0.06658
Patricia A. Woertz,31699,ARCHER-DANIELS-MIDLAND CO,1383.459,61.0,1.0,16311.521,232.799,1722,24742,2014,FEMALE,ADM,53.91,3.44,15.67151,0.05106,0.11484
Ray Guy Young,44351,ARCHER-DANIELS-MIDLAND CO,795.837,52.0,3.0,6860.64,214.478,1722,36277,2014,MALE,ADM,53.91,3.44,15.67151,0.05106,0.11484
Juan Ricardo Luciano,44352,ARCHER-DANIELS-MIDLAND CO,990.84,53.0,2.0,9133.121,228.781,1722,41788,2014,MALE,ADM,53.91,3.44,15.67151,0.05106,0.11484
D. Cameron Findlay,48331,ARCHER-DANIELS-MIDLAND CO,700.0,55.0,4.0,4012.471,-36.035,1722,26592,2014,MALE,ADM,53.91,3.44,15.67151,0.05106,0.11484
Joseph Daniel Taets,50449,ARCHER-DANIELS-MIDLAND CO,650.004,48.0,5.0,4002.844,,1722,47229,2014,MALE,ADM,53.91,3.44,15.67151,0.05106,0.11484
Patricia A. Woertz,31699,ARCHER-DANIELS-MIDLAND CO,1400.0,62.0,1.0,20657.304,26.642,1722,24742,2015,FEMALE,ADM,53.31,2.99,17.82943,0.04604,0.1033
Ray Guy Young,44351,ARCHER-DANIELS-MIDLAND CO,820.874,53.0,3.0,6434.0,-6.219,1722,36277,2015,MALE,ADM,53.31,2.99,17.82943,0.04604,0.1033
Juan Ricardo Luciano,44352,ARCHER-DANIELS-MIDLAND CO,1200.0,54.0,2.0,10485.534,14.808,1722,41788,2015,MALE,ADM,53.31,2.99,17.82943,0.04604,0.1033
D. Cameron Findlay,48331,ARCHER-DANIELS-MIDLAND CO,700.0,56.0,4.0,4063.311,1.267,1722,26592,2015,MALE,ADM,53.31,2.99,17.82943,0.04604,0.1033
Joseph Daniel Taets,50449,ARCHER-DANIELS-MIDLAND CO,666.264,49.0,5.0,4535.503,13.307,1722,47229,2015,MALE,ADM,53.31,2.99,17.82943,0.04604,0.1033
Ray Guy Young,44351,ARCHER-DANIELS-MIDLAND CO,825.048,54.0,3.0,5588.504,-13.141,1722,36277,2016,MALE,ADM,47.88,2.18,21.9633,0.03216,0.07448
Juan Ricardo Luciano,44352,ARCHER-DANIELS-MIDLAND CO,1283.34,55.0,2.0,13963.197,33.166,1722,41788,2016,MALE,ADM,47.88,2.18,21.9633,0.03216,0.07448
D. Cameron Findlay,48331,ARCHER-DANIELS-MIDLAND CO,700.0,57.0,5.0,3464.498,-14.737,1722,26592,2016,MALE,ADM,47.88,2.18,21.9633,0.03216,0.07448
Joseph Daniel Taets,50449,ARCHER-DANIELS-MIDLAND CO,700.008,50.0,4.0,3299.179,-27.259,1722,47229,2016,MALE,ADM,47.88,2.18,21.9633,0.03216,0.07448
Gregory A. Morris,54038,ARCHER-DANIELS-MIDLAND CO,650.004,44.0,1.0,3061.271,,1722,50383,2016,MALE,ADM,47.88,2.18,21.9633,0.03216,0.07448
Ray Guy Young,44351,ARCHER-DANIELS-MIDLAND CO,825.048,55.0,2.0,1772.358,-68.286,1722,36277,2017,MALE,ADM,47.44,2.8,16.94286,0.03991,0.0871
Juan Ricardo Luciano,44352,ARCHER-DANIELS-MIDLAND CO,1300.008,56.0,1.0,3632.46,-73.985,1722,41788,2017,MALE,ADM,47.44,2.8,16.94286,0.03991,0.0871
D. Cameron Findlay,48331,ARCHER-DANIELS-MIDLAND CO,700.0,58.0,4.0,1324.509,-61.769,1722,26592,2017,MALE,ADM,47.44,2.8,16.94286,0.03991,0.0871
Joseph Daniel Taets,50449,ARCHER-DANIELS-MIDLAND CO,700.008,51.0,3.0,1298.951,-60.628,1722,47229,2017,MALE,ADM,47.44,2.8,16.94286,0.03991,0.0871
Gregory A. Morris,54038,ARCHER-DANIELS-MIDLAND CO,650.004,45.0,5.0,1201.536,-60.75,1722,50383,2017,MALE,ADM,47.44,2.8,16.94286,0.03991,0.0871
Ray Guy Young,44351,ARCHER-DANIELS-MIDLAND CO,825.048,56.0,2.0,3021.627,70.486,1722,36277,2018,MALE,ADM,52.065,3.21,16.21963,0.04433,0.09536
Juan Ricardo Luciano,44352,ARCHER-DANIELS-MIDLAND CO,1300.008,57.0,1.0,6399.263,76.169,1722,41788,2018,MALE,ADM,52.065,3.21,16.21963,0.04433,0.09536
Joseph Daniel Taets,50449,ARCHER-DANIELS-MIDLAND CO,700.008,52.0,3.0,3705.952,185.303,1722,47229,2018,MALE,ADM,52.065,3.21,16.21963,0.04433,0.09536
Gregory A. Morris,54038,ARCHER-DANIELS-MIDLAND CO,650.004,46.0,4.0,1926.236,60.314,1722,50383,2018,MALE,ADM,52.065,3.21,16.21963,0.04433,0.09536
Christopher M. Cuddy,61554,ARCHER-DANIELS-MIDLAND CO,600.0,44.0,5.0,1719.507,,1722,56361,2018,MALE,ADM,52.065,3.21,16.21963,0.04433,0.09536
Ray Guy Young,44351,ARCHER-DANIELS-MIDLAND CO,845.848,57.0,2.0,6763.284,123.829,1722,36277,2019,MALE,ADM,47.2,2.45,19.26531,0.03134,0.07179
Juan Ricardo Luciano,44352,ARCHER-DANIELS-MIDLAND CO,1383.338,58.0,1.0,18047.123,182.019,1722,41788,2019,MALE,ADM,47.2,2.45,19.26531,0.03134,0.07179
Joseph Daniel Taets,50449,ARCHER-DANIELS-MIDLAND CO,701.804,53.0,3.0,4458.051,20.294,1722,47229,2019,MALE,ADM,47.2,2.45,19.26531,0.03134,0.07179
Gregory A. Morris,54038,ARCHER-DANIELS-MIDLAND CO,670.834,47.0,4.0,4300.123,123.24,1722,50383,2019,MALE,ADM,47.2,2.45,19.26531,0.03134,0.07179
Vincent F. Macciocchi,63510,ARCHER-DANIELS-MIDLAND CO,669.168,53.0,5.0,4295.383,,1722,58047,2019,MALE,ADM,47.2,2.45,19.26531,0.03134,0.07179
Carl Bass,25457,AUTODESK INC,920.769,53.0,1.0,6060.68,2.753,1878,24798,2010,MALE,ADSK,39.8,0.93,42.7957,0.07605,0.13173
George M. Bado,29464,AUTODESK INC,491.077,56.0,3.0,2327.435,19.648,1878,13083,2010,MALE,ADSK,39.8,0.93,42.7957,0.07605,0.13173
Jay H. Bhatt,42482,AUTODESK INC,448.718,42.0,4.0,1871.305,31.079,1878,40062,2010,MALE,ADSK,39.8,0.93,42.7957,0.07605,0.13173
Robert L. Kross,42483,AUTODESK INC,369.692,57.0,,,,1878,40063,2010,MALE,ADSK,39.8,0.93,42.7957,0.07605,0.13173
Mark J. Hawkins,42484,AUTODESK INC,531.058,52.0,2.0,2005.755,-28.117,1878,40064,2010,MALE,ADSK,39.8,0.93,42.7957,0.07605,0.13173
Pascal W. Di Fronzo,44073,AUTODESK INC,390.5,46.0,5.0,1327.566,,1878,41526,2010,MALE,ADSK,39.8,0.93,42.7957,0.07605,0.13173
Carl Bass,25457,AUTODESK INC,945.192,54.0,1.0,15399.214,154.084,1878,24798,2011,MALE,ADSK,46.15,1.25,36.92,0.08839,0.15152
Robert L. Kross,42483,AUTODESK INC,378.077,58.0,5.0,2294.805,,1878,40063,2011,MALE,ADSK,46.15,1.25,36.92,0.08839,0.15152
Mark J. Hawkins,42484,AUTODESK INC,547.885,53.0,2.0,2740.884,36.651,1878,40064,2011,MALE,ADSK,46.15,1.25,36.92,0.08839,0.15152
Pascal W. Di Fronzo,44073,AUTODESK INC,388.096,47.0,3.0,2325.77,75.191,1878,41526,2011,MALE,ADSK,46.15,1.25,36.92,0.08839,0.15152
Steven M. Blum,45893,AUTODESK INC,378.08,46.0,4.0,3181.896,,1878,43178,2011,MALE,ADSK,46.15,1.25,36.92,0.08839,0.15152
Carl Bass,25457,AUTODESK INC,991.0,55.0,1.0,9406.409,-38.916,1878,24798,2012,MALE,ADSK,42.69,1.09,39.16514,0.05742,0.12108
Jan Becker,32606,AUTODESK INC,395.557,60.0,5.0,1587.941,,1878,31229,2012,FEMALE,ADSK,42.69,1.09,39.16514,0.05742,0.12108
Robert L. Kross,42483,AUTODESK INC,395.557,59.0,6.0,1593.916,-30.542,1878,40063,2012,MALE,ADSK,42.69,1.09,39.16514,0.05742,0.12108
Mark J. Hawkins,42484,AUTODESK INC,571.076,54.0,2.0,2204.112,-19.584,1878,40064,2012,MALE,ADSK,42.69,1.09,39.16514,0.05742,0.12108
Pascal W. Di Fronzo,44073,AUTODESK INC,424.961,48.0,3.0,1636.273,-29.646,1878,41526,2012,MALE,ADSK,42.69,1.09,39.16514,0.05742,0.12108
Steven M. Blum,45893,AUTODESK INC,428.269,47.0,7.0,2023.34,-36.411,1878,43178,2012,MALE,ADSK,42.69,1.09,39.16514,0.05742,0.12108
Amar Hanspal,47499,AUTODESK INC,407.173,50.0,4.0,1863.442,,1878,44608,2012,MALE,ADSK,42.69,1.09,39.16514,0.05742,0.12108
Carl Bass,25457,AUTODESK INC,1027.654,56.0,1.0,8297.29,-11.791,1878,24798,2013,MALE,ADSK,50.5,1.02,49.5098,0.04979,0.10117
Jan Becker,32606,AUTODESK INC,410.057,61.0,5.0,1329.536,-16.273,1878,31229,2013,FEMALE,ADSK,50.5,1.02,49.5098,0.04979,0.10117
Mark J. Hawkins,42484,AUTODESK INC,595.884,55.0,2.0,1947.085,-11.661,1878,40064,2013,MALE,ADSK,50.5,1.02,49.5098,0.04979,0.10117
